Unnamed: 0,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
28,@CheerElk14,Laurie Spiewak,28-May,Patriots Day the movie....  I’ve got to be honest.. I could not sit and watch this movie in its entirety.  It hit too close too home.  I have NEVER been SO MAD watching a movie!  #hittooclosetohome #BostonStrong,[],No Video
29,@pjdaoust,PJ D,28-May,We Remember! #memorialday #bostonstrong,https://pbs.twimg.com/media/DeTz-f9VwAAYbsU.jpg,No Video
30,@shoptemu,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/GAJrvv8W0AA825T.jpg,No Video
31,@TheMLSchoonover,No Name,28-May,Haters gonna hate!  #BostonStrong #CityOfChamps #CityOfChampions #Patriots #RedSox #Celtics #Bruins #DirtyWater #CUsRise #InOurBlood #OneMore,[],No Video
32,@MS_POBOY,No Name,28-May,What an AWESOME season the C's had! My hat is off to the men that carried the team despite the injuries and changes that had to be made! No one probably expected us to make it past the first round. Let's keep everybody and come back #BostonStrong,[],No Video
33,@Chris_Errico15,Christopher Errico,28-May,"Gotta give credit were credit is due..I just witnessed greatness and have been witnessing greatness, never thought i would say this but congrats Lebron. You’re officially the GOAT. We’ll be back next year though stronger and faster.  #BostonStrong",[],No Video
34,@BoucherMitch,No Name,28-May,"Good morning, Last night was a tough one. But that young #Celtics team played hard, They will come back next year and win it all. We still have the Redsox and Patriots to look forward to #BostonStrong ",[],No Video
35,@MTF_SNUG,No Name,28-May,"I agree, that dude did all he could haha. I said when watching game 7 with ppl that once it came to 5 mins remaining the rookies would start to buckle under pressure and I was right.  But I still think they wining the east next year. #BostonStrong",[],No Video
36,@BolsterStrong7,No Name,28-May,"@RedSox My son was born yesterday, and I want you to know that he will be sluggin for the Sox in 2038. DH or he’ll be the next Pedroia at 2B. Remember his name: Cash Warren Bolster  #BostonStrong",https://pbs.twimg.com/media/DeQsP_pWAAAMEYs.jpg,No Video
37,@Augurex,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9zlu2YXwAAZfvb.jpg,No Video
38,@aishasingleton,Aisha Singleton,28-May,Yes! This makes me homesick #BostonStrong,[],No Video
39,@seacoastrunner,Alison Black,28-May,"This says SO MUCH about Boston—its athletes, spirit, community & support. #BostonStrong",[],No Video
40,@_chubbyuglykid,Ricky Releford,28-May,Great season Boston #BostonStrong,[],No Video
41,@Mr_GetItCrackin,Waves the Alien,28-May,"For all the Celtics players and fans https://youtu.be/qf7itqf5SA0
#BOSvsCLE #Lebroston #BostonStrong lulz #NBAFinals @celtics #NBAPlayoffs2018",[],No Video
42,@_TagaBukid,No Name,28-May,#WhaterverItTakes One Minute silence for BOSTON fans #Boston #BostonStrong,[],No Video
43,@gfswatchsports,Girlfriends Who Watch Sports,27-May,"Congrats @celtics your summer vacay starts now... go home and kiss your wives, kids, families, dogs, cats, girlfriends #greatseason #bostonstrong #nbaplayoffs",https://pbs.twimg.com/media/DeQH9tiX4AA6OZ7.jpg,No Video
44,@ErwonAng,Erwin Ang,27-May,Heads up @Celtics exceeded all expectations til the end  #BostonStrong cant wait to visit home this june ,[],No Video
45,@0mar_Khal3d,No Name,27-May,The nba is rigged... still #BostonStrong ,[],No Video
46,@shoptemu,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/GAG5jsJaEAEjEH2.jpg,No Video
47,@michaelaa_queen,Kayla N,27-May,The Celtics have came so far and have proved so many people WRONG. Make y’all jokes now but the Celtics are on a come up for next season so don’t sleep. This is just a minor set back for MAJOR comeback. Get me? #BostonStrong #617,[],No Video
48,@617StrongJosh,Joshua Brown,27-May,"We'll be back next year and you're gonna #CUsRise! That's for darn sure! Keep your heads up high #Celtics! Good night fellow fans and if leaving the @tdgarden, please travel home safely. #BostonStrong #NewMass",[],No Video
49,@WPLLFanJoshua,Joshua L Brown,27-May,"We'll be back next year and you're gonna #CUsRise! That's for darn sure! Keep your heads up high #Celtics! Good night fellow fans and if leaving the @tdgarden, please travel home safely. #BostonStrong #NewMass",[],No Video
50,@Ant_G1222,Anthony G,27-May,"Not tripping tooo hard over this loss tonight, the future is blindingly bright for the Cs. #BostonStrong",[],No Video
51,@stickermule,Sticker Mule,No Date,No Tweet Contents,https://pbs.twimg.com/amplify_video_thumb/1688968142025007104/img/NvxXjaw4qyWUYa8Z.jpg,https://pbs.twimg.com/amplify_video_thumb/1688968142025007104/img/NvxXjaw4qyWUYa8Z.jpg
52,@Cohen_Yoni,Yoni Cohen,27-May,#BostonStrong RT @nytimes What happens when an entire city tries to close the gender pay gap? Boston is trying (via @dholly8),[],No Video
53,@GyneenB,Gyneen Bridges,27-May,#CelticsVsCavs this team needs to hold their head high and be proud. So many counted us out and look how far we went. Watch out next season we are going to be almost unstoppable. #Game7 #BostonStrong #Celtics,[],No Video
54,@GshiLV,No Name,27-May,"Proud of the Celtics, it's not a lost it's a lesson. #BostonStrong  only growth from here.",[],No Video
55,@chris_m00dy,No Name,27-May,#Bostonstrong next year boys next year. @celtics,[],No Video
56,@flexpromeals,FlexPro Meals,No Date,No Tweet Contents,https://pbs.twimg.com/media/F8BcA0BbEAA9ODn.jpg,No Video
57,@PaulBorgall,Paul Borgall,27-May,Celtics look scary for next year with a healthy Kyrie and Hayward. #CUsRise #BostonCeltics #BostonStrong,https://pbs.twimg.com/tweet_video_thumb/DeQKpYUXcAUamcs.jpg,https://pbs.twimg.com/tweet_video_thumb/DeQKpYUXcAUamcs.jpg
58,@Notoriousale13,Alejandro Tortosa,27-May,It's been a hell of a ride #cusrise #celtics #nba #bostonstrong,[],No Video
59,@PhelpsTodd4,Todd Phelps,27-May,That was a helluva run @celtics looking forward to the future of this organization.  #GetHealthy #BostonStrong #CUsRise,https://pbs.twimg.com/tweet_video_thumb/DeQLJNrU8AAx_qN.jpg,https://pbs.twimg.com/tweet_video_thumb/DeQLJNrU8AAx_qN.jpg
60,@BigBrothaDrew,Andrew Miller,27-May,"Boston is going to be on top for a while, great young team with loads of potential. Congrats on a great season! #BostonStrong ",[],No Video
61,@mrwatts007,John Dillon Watts,27-May,I completely understand Celtics and their fans being sad and disappointed. But what this team did without Kyrie and Hayward is incredible. This will be the team who gets to 8 straight finals next. #CUsRise #BostonStrong #CelticPride @celtics,[],No Video
62,@artyarr_,No Name,27-May,They Gave Lebron a Standing Ovation at the Garden  whos  ever done that  #BostonStrong,[],No Video
63,@therealmscoco,No Name,27-May,"Yes the Celtics lost, but they made the Cavs earn and work for that shit so I’m happy about that #Celtics #bostonstrong",[],No Video
64,@Coroner_4,No Name,27-May,Damn...#bostonstrong,[],No Video
65,@ThomasBum24,Thomas Bumgardner,27-May,"Bright, bright future #CsUp #BostonStrong",[],No Video
66,@OnyxBoox,ONYX BOOX,No Date,No Tweet Contents,https://pbs.twimg.com/media/F_becYgacAARcAO.jpg,No Video
67,@BostonBrian25,No Name,27-May,@celtics what a season!?! Through all the injuries you made it this far. #BostonStrong #CelticsVsCavs #CelticPride @NBA,[],No Video
68,@Bailey_Denniis,dior dennis,27-May,Haven’t been this disappointed since the Super Bowl #BostonStrong,[],No Video
69,@Thousley203,No Name,27-May,We need Irving so bad #bostonstrong,[],No Video
70,@lsbeachy,Lisa Beachy,27-May,I always felt @KyrieIrving wasn’t a Boston @celtics franchise player and the fact that he’s not on the bench tonight confirms that #BostonStrong #CUsRise ,[],No Video
71,@stickermule,Sticker Mule,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9IrbWOXAAEqLMd.jpg,No Video
72,@BrandFilter,No Name,27-May,@espn Why do you show So Much Favortism towards the #Cavaliers and NOT the @celtics #Stop #BostonStrong @tdgarden,[],No Video
73,@jughed,Jarrad Boyer,27-May,"Smart to Holford #Alley #FlexingOnLebron 
Let’s go Boston Celtics 
#BostonStrong",[],No Video
74,@cramar51,Marvin Crawford,27-May,"This game has been so good. FINISH CELTICS!!! #CUsRise
#BostonStrong",[],No Video
75,@kota_bandz1,No Name,27-May,Let’s Go #CUsRise #BostonStrong,[],No Video
76,@VoicesofMPN,Voices of MPN,No Date,No Tweet Contents,https://pbs.twimg.com/media/Fm8OaS4WQAApy4X.jpg,https://pbs.twimg.com/media/Fm8OaS4WQAApy4X.jpg
82,@617StrongJosh,Joshua Brown,27-May,At halftime #Celtics lead the #Cavaliers 43-39 at the @tdgarden. #CUsRise #BostonStrong #NewMass,[],No Video
83,@WPLLFanJoshua,Joshua L Brown,27-May,At halftime #Celtics lead the #Cavaliers 43-39 at the @tdgarden. #CUsRise #BostonStrong #NewMass,[],No Video
84,@Kaytdee,Lady Donlon,27-May,I love seeing the @celtics family members in the #TDGarden  #Boston has the fans hands down! Everyone supports one another. #BostonStrong,[],No Video
85,@MarkThe1Shark,Mark The Shark,27-May,woohooho baby @celtics tearing up the cavs! Lets get it! #BostonStrong #CUsRise #Celtics #celticsin7,[],No Video
86,@Jason_Phoenix99,Jason Phoenix,27-May,I don't care what you say about #MichaelJordan but he never played as bad as #Lebron plays on many occasions. Like this first half. #NBAPlayoffs #turnovers #Airballs #bostonstrong #Celtics,[],No Video
87,@ClutterbuckJosh,No Name,27-May,No dramas jack. Good luck to our boys hopefully they’re #bostonstrong for the encounter,[],No Video
88,@JamesHizona,James Hizona,27-May,"Win or lose, I bleed green day and night. #BostonProud #BostonStrong",[],No Video
89,@ZaddyOsh,World Champ,27-May,Your King is BURNT #CUsRise #CelticNation #BostonStrong #WeBleedGreen,[],No Video
90,@michaelaa_queen,Kayla N,27-May, win or lose #BostonStrong,[],No Video
91,@gabeperez,No Name,27-May,@stoolpresidente Knicks fans stand with you and the rest of Celtics Nation tonight Prez. You’re our only hope. #bostonstrong #Celtics #CelticsVsCavs,[],No Video
92,@BostonChef_,No Name,27-May,"I know I'm about to be all over this living room, during #Game7 #NBA #CUsRise #BostonStrong ",[],No Video
93,@Augurex,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F8qO4VYWgAA6r6R.jpg,No Video
94,@PatrickKLucy,Patrick Lucy,27-May,Can’t believe LeBron is playing tonight after that devastating injury last game! Go @celtics #BostonStrong #thekingisafraud,https://pbs.twimg.com/ext_tw_video_thumb/1000898377305939969/pu/img/DDOYzyIPxpSXwYuK.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1000898377305939969/pu/img/DDOYzyIPxpSXwYuK.jpg
95,@James_yabish,No Name,27-May,"Under, #BOSTONSTRONG",https://pbs.twimg.com/media/DePSdNvV4AAFOZQ.jpg,No Video
96,@DustinGoodman21,D Goodz,27-May,Game Time #CUsRise #GreenRunsDeep #Celtics #BostonStrong ,[],No Video
97,@aboutSilviaVia,Silvia Via,27-May,"Okay after watching #ESPN thanks for the #LebronJames pre show. You are aware we are #bostonstrong you got us f*** up, better put some #respek on our name! #Celtics",[],No Video
98,@NordVPN,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/GAGoi5hXsAAOYLv.jpg,No Video
99,@wehavenature,Andre Landscape,27-May,Proud of Andre Marathon and Half-Marathon Finishers on this beautiful Sunday! #mountainstobeach #ventura #bostonbound #bostonstrong #inspire #theandreeffect #andreethos #werun #welovenature https://ift.tt/2KWBOuj,https://pbs.twimg.com/media/DeOjUcbWAAAiTp4.jpg,No Video
100,@ReneeMarcaccio,No Name,27-May,"Braving this cold spring day for the @RedSox Couldn't be more proud to wear red, white and blue #myfenway #bostonstrong #fenway #RedSoxNation",https://pbs.twimg.com/media/DeORq9NW0AE-Dan.jpg,No Video
101,@HeyMollyMol,Molly OMara Fillmore,27-May,#SundayFunday Part I: Honored to participate in Boston’s Run to Remember. #BostonStrong ,https://pbs.twimg.com/media/DeN0eNYVwAAqIKt.jpg,No Video
102,@GaryBlehm,Artist Gary Blehm,27-May,The Optimist Never Quits #TheOptimist #PenmanTheOptimist #GrinBig #PositiveMentalAttitude #BeStrong #BostonStrong #HarvardSquare #Denver #Boulder #GetItBack #ThisIsOptimism #NeverGiveUp #KeepGoing #YouCanDoIt #BeYourOwnChampion #BeYou #BeGenuine http://GrinBig.com,https://pbs.twimg.com/media/DeNr8ruU0AARCKb.jpg,No Video
103,@jluisgarciaa19,No Name,27-May,no matter what happens #bostonstrong #CUsRise,[],No Video
104,@tireinhardt,Timothy Reinhardt,27-May,"Not my best time, but one of the best causes. I’m honored to be able to run this race each year!

#RuntoRemember
#BostonStrong
#NeverForget",https://pbs.twimg.com/media/DeNTXI_VQAA7t5q.jpg,No Video
105,@SarahNarracci,Sarah Narracci,27-May,Another half marathon in the books #RuntoRemember #BostonStrong,https://pbs.twimg.com/media/DeNOaOjWkAAH_g3.jpg,No Video
106,@flmmkr,No Name,27-May,#loveeternal heading home to watch the @celtics win tonight?!! #CUsRise #bostonstrong #bostonproud #nevergiveup #woowoosquad,[],No Video
107,@jamesrosone,James RosoneAmazon KDP AllStar Author,No Date,No Tweet Contents,https://pbs.twimg.com/media/FxoJmVNXwAIe2P6.jpg,No Video
108,@dddogkillah,No Name,27-May,"dam
addon
4. bonnafide MASShole  go SOX, Patriots, Celtics, Bruins #bostonStrong",[],No Video
109,@someplace_new,Rachel and Brad,27-May,"Crusin across the Boston Habah .
. .
.
#boston #bostonstrong #bucketlist #usa #usatravel #travelandlife #travelblogger #ig_americas #massachusetts #ut #uf #bostonharbor #travelbug #travel #tourist #worldtraveler #photooftheday #instagood #forbesttravelgu… https://ift.tt/2J5LrK1",https://pbs.twimg.com/media/DeMRCQgWkAAve1K.jpg,No Video
110,@CCR1180,Carlos Cruz,26-May,Welcome back Dust @RedSox @RedSoxBeisbol #BostonStrong #MLB #WeBelieve #MLBSaturday,https://pbs.twimg.com/media/DeI06ZJW0AA7vEP.jpg,No Video
111,@TorresWines,Familia Torres Wines,No Date,No Tweet Contents,https://pbs.twimg.com/card_img/1729403764862341120/_OH-a0-L.jpg,No Video
112,@laraonthemta,Lara on the MTA,26-May,"10 days left, $1,202 to our goal for a Doyle Park transformation here in Hyde Park. I believe in you, Bostonians. Let's rally and see this park through for a historically marginalized neighborhood. #bostoncalling #BostonYoureMyHome #bostonstrong #doylepark https://patronicity.com/project/doyle_playground_transformation_1#!/…",[],No Video
113,@NicGamesBadly,No Name,26-May,Have faith guys  #BostonUp #BostonStrong,[],No Video
114,@21BullyBreed88,No Name,26-May,C-Us-Rise #BostonStrong #CelticsVwhoever ready for game 7!!!!,https://pbs.twimg.com/tweet_video_thumb/DeIrPfTX4AEGqCQ.jpg,https://pbs.twimg.com/tweet_video_thumb/DeIrPfTX4AEGqCQ.jpg
115,@DNadeau1989,Dave Nadeau,26-May,"Spread the word to held search!!!
#GetEm #Canada #CanadaStrong #bostonstrong #Boston #WorldTradeCenter #NewYork #NYC #NewYorkCity #RedSox #Yankees  “Two men wanted after IED detonated in Mississauga restaurant”

https://twitter.com/i/moments/999860762720923648…",[],No Video
116,@PGar5800,No Name,26-May,"Yes.  I guess #BRS is going to fall apart at the seams with the ‘startling’ DFA of HanRam.  

(shakes head in disgust) Haters.  

#GoRedSox #BostonStrong",[],No Video
117,@JenHaught79,Jen Haught,26-May,"Just watched ""Marathon: Patriots Day Bombing"" This documentary about the
@bostonmarathon gave me chills, such a scary day. The survivors are so strong. #BostonStrong",[],No Video
118,@Definitely_Cuff,Storytime Stiz,26-May,.@GBainbridge Did I tell you when I was throwing dumplings across the table at Shanghai Village with Cinzia? #BostonStrong,[],No Video
119,@DannyBonjuice,Danny Bonjuice,26-May,"Nothing like taking a W at the final game of the series. 
#CUsRise
#BostonStrong
#Celtics
 https://facebook.com/story.php?story_fbid=10215204478600739&id=1096525119…",[],No Video
120,@Shopping_Tools,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9Strc2XMAERMKN.jpg,No Video
121,@almosttaymous,Almost Taymous,26-May,My mom speaks Italian to everyone she meets when she’s traveling...even when she’s still in America. Don’t bother waking me in up the morning. #bostonstrong #barely,[],No Video
122,@PierreBell6,Pierre Bell,26-May,Let's go @celtics #CUsRise #BostonStrong ,[],No Video
123,@pettyspeghettea,Petty Spaghetti,25-May,IHOP is slammed with only 1 host on staff. A few #BOSTONCALLING patrons are playing server to help out. #bostonstrong #socute #sorryyoulostatbasketball,[],No Video
124,@seacoastrunner,Alison Black,25-May,Let’s go CELTICS!!! #bostonstrong @celtics,[],No Video
125,@tcctalk,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/amplify_video_thumb/1725555089341919232/img/3xs4sgYYrSUDqzXE.jpg,https://pbs.twimg.com/amplify_video_thumb/1725555089341919232/img/3xs4sgYYrSUDqzXE.jpg
126,@JMRamos1701D,John Ramos,25-May,Boston Victory! #RedSoxWin! #DirtyWater #BostonStrong (Sweet Caroline),https://pbs.twimg.com/tweet_video_thumb/DeFtcu6W0AANnBU.jpg,https://pbs.twimg.com/tweet_video_thumb/DeFtcu6W0AANnBU.jpg
127,@SmartGuySports,The Smart GuySports Truth,25-May,"Who wins Game 7? When you vote pls RT! 
#NBA #Believeland #PapaBron #Lebron #BostonStrong #StriveForGreatness #StayNotTired",[],No Video
128,@JSilverman22,Jeffrey Silverman,25-May,Uhhhggg but still believe @celtics #BostonStrong,[],No Video
129,@StameyBranch28,Robbie Stamey,25-May,I'll tip my hat Lebron but you best score 75 if you want to even have a chance in Boston. You're coming into the house of the Monstars son. #CUSRISE #BostonStrong #BOSTONCELTICS #NBAPlayoffs #EastFinals #Game7,[],No Video
130,@msixapparel,Msix Apparel,No Date,No Tweet Contents,https://pbs.twimg.com/media/F_NPcz3aoAAijpc.jpg,No Video
131,@boomthegoon,Chinito Henson,25-May,"Greatest two words in sports: GAME SEVEN! 
See you in the garden! Let's do this! #CUsRise #BostonStrong #GreenRunsDeep",[],No Video
132,@RyRod_,No Name,25-May,“We’re just young to not give a damn” #CusRise #BostonStrong #Celtics,[],No Video
133,@Qmac80,No Name,25-May,Where only down by 15 its ok. #CUsRise #BostonStrong,[],No Video
134,@seacoastrunner,Alison Black,25-May,Let’s go CELTICS!!! You can do this!! You’re still in it!!  #bostonstrong @celtics,[],No Video
135,@flmmkr,No Name,25-May,Being a Boston sports fan is not for the faint at heart! Go @celtics! #CUrise #bostonstrong #bostonproud #nevergiveup #woowoosquad,[],No Video
136,@HoneyBrown24,Mica B,25-May,"@NObitchIDNTsing  Jr good, leave him alone. Cavs about lose at home.
#BIGGREEN
#BOSTONSTRONG",[],No Video
137,@SmartGuySports,The Smart GuySports Truth,25-May,Looks like @George_Hill3 wants to go to the #NBAFinals... How bout the rest of ya?!? #WhateverItTakes #LeBron #PapaBron #BostonStrong #Upset https://twitter.com/cavs/status/1000176892819849216/video/1…,[],No Video
138,@kota_bandz1,No Name,25-May,Game 6 #CUsRise Opportunity is here let’s get it done #BostonStrong,[],No Video
139,@j_beeeezy69,Jansen Fisher,25-May,1 more hour! Let’s go @celtics and punch our spot in the Finals! #Celtics #CUsRise #Boston #BostonStrong #BeatCleveland #ItsNotLuck #CityOfChampions #GreenAndWhite #NBAPlayoffs,[],No Video
140,@EveGreen88,Eve Green,25-May,Finally I can watch @RedSox live only because they’re playing the Braves & they’re huge here in North Carolina. Oh how I miss living in New England (that’s the only thing I miss! My Red Sox & going to FENWAY!) #RedSoxNation #RedSoxGirl #FenwayPark #Tessie #Wally #BostonStrong,https://pbs.twimg.com/media/DeFBg1YUwAAlpgT.jpg,No Video
141,@PatProject24,Patrick Hardy,25-May,Thanks for all the clutch times @HanleyRamirez #ElTrece #BostonStrong #DirtyWater,[],No Video
142,@MCLX_5,No Name,25-May,"1 win away from the NBA Finals! And this win must be tonight! Let's go @celtics ! I'm proud of you guys! Let's finish It!
#nba #NBAPlayoffs #Celtics #CUsRise #Boston #BostonStrong #CelticPride #BOSvsCLE #game6 #NBAFinals",[],No Video
143,@TheMightySite,The Mighty,No Date,No Tweet Contents,https://pbs.twimg.com/media/Fw5cs9lWYAEIpSu.jpg,No Video
144,@cbee8,Carrie Gofron,25-May,"Great week in Boston visiting SWELL, Klaviyo and Privy (or Pivy?!?), along with some lunchtime sightseeing (love seeing customer storefronts!) and dinner with one of my all-time faves, @RoxanneJoS.  #bostonstrong #ecommerce with Shopify Plus #shopify #sho…https://lnkd.in/eAUHJ6v",[],No Video
145,@TwitchB51,No Name,25-May,@HanleyRamirez will forever be #BOSTONSTRONG,[],No Video
146,@samymac3,Sam McLaughlin,25-May,We love you... FOREVER BOSTON!!!! #BostonStrong #ElTrece @HanleyRamirez,https://pbs.twimg.com/media/DeDxUplXkAAxh-Y.jpg,No Video
147,@flmmkr,No Name,25-May,I’m guessing Cleveland again tonight! Go @celtics #CUrise #CelticsVsCavs #BostonStrong #bostonproud,[],No Video
148,@axscoreofficial,Axscore Official,No Date,No Tweet Contents,https://pbs.twimg.com/media/F7lePijWoAACg2h.jpg,No Video
149,@TRUEfitnesstech,TRUE Fitness,25-May,@BSC_Gym updated their fitness equipment to TRUE products this past week! Thanks for choosing TRUE Fitness equipment for your members and staff to workout on! #boston #bostonstrong #bsc #sports #fitness,https://pbs.twimg.com/media/DeC7ZcEV0AAzt75.jpg,No Video
150,@Jeremy_Horn,Jeremy Horn,25-May,".@RealJohnnyGill of @NewEdition and me at his birthday party in Chicago after ""Da Fellas"" concert in June 2012. ""Happy Belated Birthday!"" #ThrowbackThursday #Unsung #NE4LIFE #BostonStrong #WashingtonDC",https://pbs.twimg.com/media/DeA6468U0AcXfJX.jpg,No Video
151,@FrogmansWorld,Scary Frog,24-May,Dude I really hope #Chrispaul is ok I’m a C’s fan and really want a #Celtics vs #HoustonStrong Finals! Screw #GSW and #Cavs let’s do this! #Bostonstrong and #HoustonStrong,[],No Video
152,@Inc,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/card_img/1729559016907399168/fZvut2UH.jpg,No Video
